1937	887
1938	3570
1939	1980
1940	632
1941	5100
1942	4400
1943	3660
1944	8600
1945	4330
1946	3660
1947	4120
1948	534
1949	1920
1950	3650
1951	714
1952	835
1953	1920
1954	3890
1955	1690
1956	1320
1957	3060
1958	5320
1959	4510
1960	4380
1961	7380
1962	9000
1963	5020
1964	2270
1965	2390
1966	8320
1967	3330
1968	9120
1969	8760
1970	3750
1971	10600
1972	17300
1973	13600
1974	6060
1975	6180
1976	8480
1977	6410
1978	8290
1979	11800
1980	4810
1981	12700
1982	9090
1983	11500
1984	3830
1985	12700
1986	10900
1987	7660
1988	5440
1989	18300
1990	8550
1991	9310
1992	25100
1993	11200
1994	6850
1995	11800
1996	9630
1997	15600
1998	21200
1999	9770
2000	7620
2001	28100
2002	10600
2003	15900
2004	18100
2005	10200
2006	14500
2007	14000
2008	20000
2009	15500
2010	12000
2011	7750
2012	8670
2014	10600
