1936	6600	
1937	1270	
1938	4530	
1939	6800	
1940	1340	
1941	6460	
1942	4590	
1943	6280	
1944	8120	
1945	5590	
1946	3880	
1947	4360	
1948	1440	
1949	2340	
1950	5340	
1951	786	
1952	1850	
1953	3580	
1954	3680	
1955	3300	
1956	1180	
1957	4660	
1958	5100	
1959	7760	
1960	12600	
1961	6320	
1962	7720	
1963	8300	
1964	4060	
1965	3160	
1966	9400	
1967	4730	
1968	12000	
1969	9240	
1970	11500	
1971	15500	
1972	11700	
1973	24800	
1974	8660	
1975	18000	
1976	29000	
1977	8710	
1978	6260	
1979	25500	
1980	11300	
1981	25400	
1982	17700	
1983	29000	
1984	8640	
1985	13200	
1986	17300	
1987	22400	
1988	8290	
1989	21500	
1990	10400	
1991	19800	
1992	23000	
1993	16000	
1994	16600	
1995	27000	
1996	17700	
1997	23400	
1998	25500	
1999	16700	
2000	7640	
2001	33000	
2002	17900	
2003	11800	
2004	25600	
2005	12800	
2006	12700	
2007	17700	
2008	25500	
2009	18800	
2010	19200	
2011	14700	
2012	25300	
2013	21700	
2014	15700	
2015	28700	
2016	27200	
